,Len,Indices
56,6,"[20098, 44379, 63405, 113596, 113688, 132207]"
57,7,"[7532, 9548, 43840, 70973, 78345, 114120, 120852]"
58,3,"[53890, 115957, 121845]"
59,5,"[31487, 47758, 93630, 115876, 123561]"
60,4,"[37403, 53498, 70141, 89684]"
61,3,"[29310, 44089, 64242]"
62,3,"[72666, 92213, 108949]"
63,4,"[36603, 63398, 82377, 106669]"
64,8,"[29836, 40921, 41815, 65697, 67109, 85242, 101629, 105441]"
65,8,"[34294, 47867, 60946, 71138, 71440, 78878, 97916, 131707]"
66,3,"[98027, 116191, 120800]"
67,6,"[26507, 26774, 65309, 76272, 84400, 113949]"
68,5,"[11661, 22071, 75109, 106538, 109478]"
69,4,"[17496, 41284, 45177, 85089]"
70,5,"[16331, 26367, 55188, 107391, 133018]"
71,6,"[17944, 26899, 62658, 69001, 76664, 129795]"
72,3,"[44625, 57131, 66284]"
73,6,"[9576, 18046, 32337, 74176, 81523, 119456]"
74,5,"[16498, 41125, 94235, 127959, 128873]"
75,3,"[14398, 81734, 130776]"
76,11,"[3141, 41113, 48186, 51523, 67527, 75306, 86179, 94808, 105124, 129339, 132441]"
77,7,"[43156, 47667, 53170, 66935, 68727, 75459, 106552]"
78,4,"[9805, 22959, 32420, 105519]"
79,12,"[17165, 18354, 29474, 33570, 39092, 42644, 65399, 78797, 87041, 109093, 120630, 131302]"
80,5,"[17183, 77778, 98929, 113059, 127000]"
81,6,"[21719, 42882, 43398, 50993, 84917, 127713]"
82,4,"[54645, 74482, 90910, 123998]"
83,6,"[11075, 16005, 71508, 72669, 108387, 111940]"
84,6,"[5103, 18275, 29513, 35214, 62863, 83124]"
85,7,"[973, 13152, 80856, 100307, 100536, 111261, 124284]"
86,2,"[60126, 66661]"
87,7,"[11268, 17497, 37886, 56182, 62366, 80947, 131107]"
88,8,"[12777, 47649, 58931, 71977, 73555, 91537, 117536, 124294]"
89,9,"[14210, 15905, 22680, 24658, 62010, 69457, 111586, 127788, 129077]"
90,5,"[38598, 54849, 69903, 70357, 89449]"
91,5,"[26598, 45725, 78080, 111725, 117169]"
92,2,"[80831, 129074]"
93,7,"[13587, 68818, 81316, 91887, 96627, 101003, 105141]"
94,5,"[17284, 26154, 57893, 68582, 82273]"
95,7,"[34856, 41465, 48503, 62092, 68226, 113941, 123162]"
96,7,"[7336, 38699, 57150, 68388, 115910, 131952, 132455]"
97,3,"[2169, 95160, 124086]"
98,5,"[9069, 45436, 72500, 92060, 127335]"
99,8,"[8414, 13752, 14830, 31770, 33745, 43293, 59948, 124964]"
100,7,"[15771, 29948, 30005, 46990, 61218, 85825, 114405]"
101,3,"[6331, 68613, 125894]"
102,13,"[7633, 52677, 55509, 70739, 73175, 78278, 80732, 90147, 94659, 100397, 115905, 117319, 125772]"
103,11,"[2426, 10480, 13768, 22608, 23019, 53314, 57641, 65133, 68287, 87695, 104850]"
104,3,"[13571, 14167, 99019]"
105,8,"[4256, 15579, 39459, 55381, 61929, 79069, 94441, 108961]"
106,4,"[3564, 20276, 52487, 75061]"
107,13,"[10235, 16900, 28175, 45199, 56642, 57497, 91593, 93204, 94123, 107213, 122879, 122881, 123745]"
108,8,"[4767, 12709, 21507, 59243, 85794, 101168, 107553, 126021]"
109,4,"[16938, 79417, 112192, 119092]"
110,14,"[19514, 23568, 33738, 42111, 42139, 48791, 59172, 82619, 86300, 88441, 91733, 94499, 128589, 131445]"
111,5,"[39045, 40332, 55903, 94145, 123870]"
112,9,"[38595, 55518, 74965, 90569, 91770, 107889, 108561, 117269, 128127]"
113,5,"[18515, 45773, 81968, 125158, 130531]"
114,9,"[14912, 47388, 55978, 71449, 75344, 94832, 100826, 103152, 125875]"
115,10,"[12864, 19500, 21361, 25371, 39517, 70897, 84726, 89929, 90424, 129478]"
116,3,"[2806, 15471, 69368]"
117,15,"[870, 7560, 34668, 42367, 48389, 58973, 61847, 64282, 75865, 84123, 99841, 103869, 111028, 120224, 126719]"
118,7,"[15013, 19260, 56379, 72012, 73134, 109979, 111863]"
119,7,"[11492, 24471, 49827, 84645, 94458, 103834, 107564]"
120,3,"[22125, 51615, 94250]"
121,4,"[304, 42501, 63032, 113053]"
122,4,"[18814, 62030, 75730, 112555]"
123,6,"[2718, 52775, 82917, 102963, 109764, 115902]"
124,4,"[33437, 38879, 54456, 76346]"
125,7,"[4048, 24248, 39450, 57864, 98274, 118507, 120527]"
126,5,"[11550, 46440, 64421, 84973, 130526]"
127,6,"[58230, 93707, 103943, 106233, 116376, 120276]"
128,5,"[25506, 39752, 40152, 112021, 119972]"
129,9,"[15029, 15758, 24208, 33256, 54023, 67663, 83541, 116560, 125207]"
130,12,"[5991, 38744, 54311, 56294, 71887, 73464, 98177, 98821, 123096, 125047, 125291, 131128]"
131,8,"[15457, 21255, 22468, 40328, 43283, 68552, 80556, 95556]"
132,9,"[19411, 33377, 38583, 44876, 63579, 82576, 91738, 102995, 123853]"
133,7,"[18175, 21073, 41705, 42235, 81790, 126065, 126110]"
134,4,"[3761, 5231, 67183, 106480]"
135,2,"[106329, 124171]"
136,9,"[20561, 38132, 49255, 70852, 82366, 90376, 106211, 113235, 131091]"
137,9,"[14846, 37480, 41029, 53709, 53744, 68741, 97929, 125473, 127211]"
138,6,"[5099, 9234, 45430, 73025, 82731, 129775]"
139,12,"[41279, 55977, 64328, 65106, 71446, 78459, 80393, 84481, 98046, 114870, 118421, 128366]"
140,2,"[28827, 40060]"
141,2,"[39996, 48177]"
142,6,"[840, 3595, 6305, 42661, 69689, 86610]"
143,3,"[5040, 87999, 103570]"
144,3,"[42288, 74088, 124922]"
145,6,"[20463, 21118, 40264, 49110, 51470, 64271]"
146,10,"[7754, 7762, 17344, 71209, 73816, 80795, 90730, 93377, 112653, 122594]"
147,17,"[19094, 25895, 42268, 47637, 50458, 54284, 54582, 60939, 65516, 69625, 82161, 96071, 107644, 113135, 116936, 128992, 131214]"
148,9,"[50342, 56540, 59611, 65408, 76798, 91795, 97736, 104289, 125112]"
149,4,"[32362, 37408, 52532, 87132]"
150,4,"[39121, 75048, 91818, 108908]"
151,3,"[32667, 39958, 124406]"
152,2,"[42823, 112345]"
153,6,"[1903, 56690, 72476, 75404, 85122, 129631]"
154,7,"[6381, 6898, 11640, 15782, 24161, 42877, 84900]"
155,10,"[18068, 30187, 52670, 76506, 79202, 108010, 114192, 114472, 115484, 118545]"
156,5,"[17445, 27001, 99900, 119261, 128238]"
157,19,"[1310, 3585, 10093, 30284, 30334, 30345, 31625, 41387, 46892, 46913, 55755, 66235, 67228, 84557, 86864, 91143, 113989, 116152, 122991]"
158,5,"[4129, 30448, 45599, 45905, 132944]"
159,4,"[21258, 46349, 50335, 130655]"
160,3,"[28720, 41840, 63058]"
161,10,"[24974, 41205, 62054, 69061, 75740, 84070, 95212, 100190, 122731, 124007]"
162,7,"[22077, 47929, 73631, 86188, 105128, 114442, 128878]"
163,3,"[56092, 71613, 105885]"
164,5,"[4409, 29638, 41473, 84585, 98031]"
165,6,"[31750, 42240, 74617, 94147, 102860, 129481]"
166,6,"[13925, 16612, 40219, 77424, 77491, 80093]"
167,7,"[39888, 48140, 98221, 104749, 128725, 128943, 131853]"
168,5,"[14132, 22827, 39581, 50733, 97174]"
169,3,"[73136, 74710, 133083]"
170,8,"[2136, 15678, 27758, 48572, 51495, 62937, 116678, 128062]"
171,6,"[5716, 54045, 68090, 69087, 128770, 129576]"
172,3,"[42199, 76597, 124380]"
173,11,"[6005, 37959, 45452, 48415, 51196, 51300, 62680, 66365, 117696, 130328, 133023]"
174,8,"[807, 875, 2703, 36610, 103832, 113862, 120897, 128711]"
175,3,"[49932, 70545, 131848]"
176,3,"[17833, 39204, 123048]"
177,5,"[32156, 72435, 86380, 92016, 112889]"
178,4,"[7187, 24645, 31263, 129366]"
179,7,"[20974, 32083, 47454, 57341, 73458, 116142, 129524]"
180,4,"[6947, 12086, 70335, 95068]"
181,4,"[4192, 35347, 39185, 117555]"
182,6,"[29958, 34411, 66104, 79233, 98833, 114356]"
183,10,"[13594, 34795, 50863, 71038, 77116, 80363, 111075, 111403, 118766, 119089]"
184,3,"[52424, 64154, 67463]"
185,4,"[43950, 79822, 106047, 128254]"
186,13,"[12342, 14690, 33290, 36852, 66867, 67316, 75871, 78190, 84811, 86872, 114774, 115047, 121136]"
187,6,"[14570, 46737, 67375, 77602, 85213, 131022]"
188,2,"[16430, 50231]"
189,5,"[978, 26280, 27574, 64926, 68278]"
190,5,"[18541, 56354, 89086, 101640, 126168]"
191,7,"[355, 1661, 45319, 53536, 99020, 123017, 123532]"
192,10,"[12332, 21759, 28949, 39719, 49303, 63452, 65995, 85555, 102256, 131073]"
193,5,"[8500, 55940, 71400, 116293, 126417]"
194,15,"[24042, 24429, 32726, 38788, 42154, 58733, 69495, 72869, 73062, 74179, 76718, 96212, 117006, 126482, 131703]"
195,10,"[4486, 45062, 50749, 51501, 59122, 85729, 106795, 107771, 121605, 123774]"
196,8,"[2802, 40771, 45790, 51203, 64826, 119170, 127130, 132829]"
197,8,"[17956, 33116, 58617, 69580, 77903, 81436, 87145, 124876]"
198,3,"[32566, 49154, 127554]"
199,12,"[2449, 29932, 31199, 41355, 44171, 47177, 68160, 68338, 70798, 93089, 115100, 130684]"
200,14,"[37214, 39567, 50162, 51741, 57432, 66795, 69967, 70067, 75298, 84657, 87339, 95141, 121484, 128485]"
201,5,"[14357, 47722, 92682, 109463, 131979]"
202,4,"[19005, 24655, 45849, 97583]"
203,11,"[13205, 26314, 33568, 33680, 35625, 46711, 48497, 63682, 94304, 105608, 130992]"
204,5,"[25316, 31718, 45980, 102494, 119901]"
205,5,"[55205, 80741, 94306, 101872, 119208]"
206,7,"[9682, 37714, 41119, 54387, 57118, 73113, 92647]"
207,8,"[7799, 12378, 24325, 31797, 34245, 90762, 101366, 129946]"
208,5,"[992, 10734, 64935, 81946, 130922]"
209,4,"[60936, 74484, 79823, 80359]"
210,5,"[29202, 35322, 63973, 101740, 113519]"
211,8,"[22063, 35374, 50962, 63674, 82173, 85590, 92386, 113382]"
212,4,"[2576, 13879, 35233, 127418]"
213,3,"[34518, 61387, 118723]"
214,6,"[11070, 98230, 107333, 107541, 118494, 127669]"
215,5,"[30228, 84806, 86430, 126436, 132338]"
216,9,"[3480, 6019, 23657, 28717, 40880, 63049, 86510, 98913, 132741]"
217,2,"[23906, 82185]"
218,8,"[18045, 41668, 67787, 77643, 92963, 101274, 112935, 118689]"
219,2,"[52273, 118964]"
220,7,"[168, 2176, 3007, 21336, 36695, 49147, 127786]"
221,7,"[46492, 80294, 80914, 114005, 125828, 131180, 132835]"
222,6,"[50336, 65400, 75552, 98786, 104287, 110878]"
223,6,"[43121, 52729, 82553, 102421, 119318, 129285]"
224,9,"[16668, 46499, 48258, 56040, 81277, 91023, 99781, 116001, 116158]"
225,4,"[34722, 49470, 65320, 71129]"
226,21,"[19529, 20208, 32044, 35696, 41772, 46082, 50253, 54218, 64136, 65318, 67871, 69269, 80495, 83327, 94437, 100171, 104472, 111375, 126709, 126810, 128139]"
227,4,"[169, 42466, 83412, 86672]"
228,8,"[2825, 48628, 48808, 59313, 70403, 71293, 106010, 133057]"
229,9,"[3490, 10364, 44484, 54623, 57588, 95326, 101764, 124779, 128650]"
230,6,"[4262, 66241, 67675, 69440, 115875, 120909]"
231,2,"[1664, 19215]"
232,7,"[45523, 49583, 64702, 81434, 94282, 102513, 117545]"
233,7,"[3667, 22276, 43328, 60084, 104666, 111539, 116501]"
234,3,"[13908, 29954, 85669]"
235,8,"[35393, 38943, 45915, 73335, 85538, 104689, 107603, 130225]"
236,5,"[47256, 50686, 80069, 85307, 108090]"
237,3,"[2786, 28753, 127218]"
238,6,"[4592, 21892, 44084, 87135, 100097, 121525]"
239,4,"[18202, 80416, 81326, 81671]"
240,5,"[1758, 22800, 50422, 64050, 70361]"
241,9,"[31799, 44710, 49949, 56934, 81005, 85689, 88617, 118358, 131186]"
242,7,"[275, 7617, 26104, 55739, 57740, 71074, 83494]"
243,5,"[22766, 25940, 73554, 82096, 98781]"
244,2,"[27961, 95186]"
245,4,"[32993, 38910, 92770, 129954]"
246,7,"[14993, 27534, 75288, 93150, 94949, 111084, 132501]"
247,4,"[44917, 59765, 71126, 133276]"
248,4,"[26206, 60496, 110314, 119778]"
249,9,"[44066, 54520, 55617, 63861, 70890, 90414, 115518, 118530, 120037]"
250,6,"[32283, 38854, 61704, 92408, 115010, 132802]"
251,8,"[5793, 18245, 67311, 77862, 78324, 80306, 81710, 128337]"
252,4,"[32524, 32605, 57427, 116875]"
253,2,"[69401, 95324]"
254,7,"[6766, 18037, 23283, 58525, 74039, 80575, 121060]"
255,7,"[23109, 46933, 50776, 94467, 106178, 127574, 132914]"
256,4,"[74392, 98057, 106564, 108049]"
257,12,"[31857, 34663, 39057, 42974, 61679, 78154, 93242, 106447, 110019, 110179, 111752, 127269]"
258,6,"[23977, 72188, 89966, 91741, 107685, 116368]"
259,4,"[11122, 12934, 76489, 117137]"
260,3,"[4773, 15484, 78960]"
261,7,"[28326, 62271, 63225, 71480, 102824, 105315, 107136]"
262,3,"[11077, 33444, 59312]"
263,9,"[21562, 44239, 44967, 93043, 118179, 118184, 128552, 132193, 132343]"
264,8,"[3992, 4433, 22868, 37930, 73135, 92685, 98054, 104640]"
265,6,"[10378, 13343, 22183, 22879, 85709, 112170]"
266,11,"[29611, 29641, 62636, 69081, 80962, 98076, 118444, 126039, 126053, 128200, 132492]"
267,7,"[15722, 18590, 41839, 79216, 90452, 101788, 124149]"
268,5,"[18943, 43831, 92435, 98876, 102532]"
269,13,"[21648, 24810, 41065, 41599, 47962, 50150, 64969, 92543, 95171, 99454, 118662, 123299, 131639]"
270,5,"[7270, 22380, 43094, 55468, 107256]"
271,4,"[12593, 14214, 93109, 116803]"
272,2,"[7953, 60578]"
273,11,"[788, 5228, 29362, 55229, 64398, 65276, 73353, 77863, 88075, 107621, 123314]"
274,8,"[31603, 58806, 72897, 95121, 115525, 115985, 128279, 129154]"
275,6,"[9388, 31447, 40072, 46834, 87630, 115013]"
276,6,"[15512, 38963, 39520, 59304, 118610, 129327]"
277,5,"[3774, 20426, 52144, 104634, 108056]"
278,7,"[38416, 42012, 56268, 71855, 91380, 116264, 131080]"
279,6,"[19905, 31920, 71817, 82901, 102928, 116248]"
280,5,"[44397, 72898, 88522, 108438, 112919]"
281,3,"[6835, 89760, 108227]"
282,3,"[11289, 44629, 93155]"
283,4,"[28647, 78808, 101458, 111990]"
284,3,"[66107, 124105, 128497]"
285,5,"[22040, 22056, 23765, 54130, 92079]"
286,4,"[2985, 73153, 92697, 114477]"
287,7,"[1452, 46863, 51705, 117683, 126651, 129492, 130882]"
288,8,"[21791, 75127, 87564, 90127, 94649, 105926, 117312, 131203]"
289,3,"[147, 43081, 75729]"
290,3,"[8646, 41999, 127724]"
291,4,"[33509, 39599, 82876, 97425]"
292,13,"[8175, 12246, 26552, 26612, 36652, 38394, 51250, 59729, 75544, 95027, 99036, 106019, 118762]"
293,5,"[88405, 105084, 106625, 116253, 132928]"
294,9,"[4629, 4783, 45163, 53017, 53184, 81704, 87601, 102818, 129511]"
295,3,"[70434, 74618, 131602]"
296,2,"[7454, 132229]"
297,10,"[3042, 28608, 30097, 32552, 44276, 72813, 73701, 96658, 100374, 129422]"
298,5,"[607, 34863, 42597, 67556, 106673]"
299,5,"[7015, 24474, 55284, 107571, 107673]"
300,5,"[44117, 82304, 94815, 106554, 112244]"
301,7,"[4559, 7985, 48066, 55986, 71461, 101061, 125988]"
302,5,"[8733, 68361, 72147, 91712, 124321]"
303,4,"[19193, 39285, 70627, 74445]"
304,17,"[8269, 8732, 20030, 24340, 24476, 24671, 24708, 38575, 42297, 55393, 56184, 70580, 71757, 90137, 102811, 126558, 126638]"
305,4,"[26877, 37611, 88746, 111219]"
306,3,"[16587, 61855, 80205]"
307,7,"[9117, 38707, 41078, 67838, 70975, 79875, 121464]"
308,3,"[98593, 108702, 129324]"
309,3,"[22523, 24303, 86827]"
310,10,"[2325, 25208, 43261, 46730, 50857, 65929, 81337, 85485, 101010, 131950]"
311,5,"[3425, 30230, 32675, 57699, 86439]"
312,5,"[39634, 103892, 108264, 110582, 119944]"
313,3,"[84938, 104325, 119645]"
314,11,"[1779, 13624, 19189, 55908, 60639, 65501, 77144, 82445, 112081, 116491, 124991]"
315,5,"[83911, 100731, 111686, 112750, 128726]"
316,10,"[13705, 15489, 24166, 33144, 63285, 77840, 96753, 98570, 101985, 111435]"
317,3,"[31526, 70759, 101829]"
318,15,"[32427, 35017, 37345, 39213, 64293, 71681, 88145, 91174, 92648, 97346, 116698, 119464, 123246, 127291, 129882]"
319,5,"[21404, 52867, 68483, 88049, 109773]"
320,6,"[10043, 18203, 25234, 34548, 57240, 114603]"
321,4,"[61916, 75555, 102388, 104504]"
322,4,"[16289, 62528, 81211, 130742]"
323,6,"[4697, 19347, 28979, 108111, 108188, 122386]"
324,7,"[34175, 40099, 67812, 72200, 84148, 84676, 99511]"
325,8,"[354, 9808, 9939, 32422, 38954, 73380, 80963, 93424]"
326,7,"[10879, 14947, 81798, 87758, 101465, 105464, 109880]"
327,6,"[5458, 53813, 56085, 86657, 103008, 105038]"
328,6,"[7049, 25959, 57058, 70454, 106979, 109752]"
329,2,"[31400, 52704]"
330,5,"[51332, 57314, 66413, 73422, 114464]"
331,4,"[15163, 40268, 98244, 124734]"
332,4,"[59387, 97993, 124993, 130361]"
333,4,"[4026, 98530, 105658, 125177]"
334,6,"[22609, 30476, 47356, 86951, 87173, 102089]"
335,5,"[2772, 38129, 70846, 85838, 90367]"
336,7,"[15871, 22726, 67599, 98285, 104121, 111946, 112171]"
337,6,"[615, 19155, 26613, 64128, 103947, 111348]"
338,8,"[9621, 38852, 40891, 41597, 44824, 70485, 101715, 125959]"
339,4,"[2189, 67827, 90727, 116051]"
340,9,"[6082, 17688, 28428, 38674, 63061, 107393, 119526, 122446, 129613]"
341,6,"[14747, 46548, 78241, 85544, 97834, 126440]"
342,2,"[68173, 127340]"
343,2,"[75921, 128470]"
344,5,"[17227, 39733, 41374, 75922, 100333]"
345,10,"[13093, 21730, 59500, 68478, 79813, 83177, 88041, 98967, 113603, 118896]"
346,4,"[3997, 27727, 44908, 56598]"
347,3,"[29947, 51008, 70587]"
348,3,"[3597, 22365, 123215]"
349,7,"[11843, 48969, 90390, 92446, 122485, 127627, 128121]"
350,8,"[3544, 39671, 93842, 101728, 105387, 105419, 117045, 126205]"
351,4,"[1640, 4500, 50968, 127154]"
352,6,"[36314, 45021, 47605, 59919, 65367, 109506]"
353,7,"[7074, 16193, 33360, 43728, 59131, 101054, 113567]"
354,4,"[3018, 38864, 90081, 123241]"
355,5,"[11656, 37310, 46355, 55984, 68209]"
356,5,"[12408, 45985, 68143, 75940, 96163]"
357,8,"[348, 45246, 46593, 91017, 95745, 95786, 98945, 111121]"
358,7,"[10382, 21152, 28939, 57455, 73828, 93134, 98750]"
359,5,"[41584, 81274, 92784, 96739, 115625]"
360,5,"[3014, 14924, 36635, 66269, 101551]"
361,6,"[13669, 16453, 26650, 65043, 111041, 111425]"
362,5,"[15759, 16139, 24692, 107799, 114436]"
363,6,"[16347, 54326, 73234, 92779, 98258, 123116]"
364,3,"[57453, 77560, 82637]"
365,7,"[15167, 28240, 71233, 93932, 97316, 118498, 118538]"
366,8,"[29855, 43252, 61293, 65764, 67645, 98973, 101909, 114216]"
367,8,"[53274, 53554, 63001, 73550, 102082, 117357, 123388, 131114]"
368,4,"[25459, 56430, 56623, 80379]"
369,3,"[26346, 55259, 70374]"
370,5,"[12466, 39444, 103288, 126729, 129933]"
371,5,"[78917, 81506, 98512, 101174, 103091]"
372,7,"[65391, 78995, 84855, 87331, 98596, 104281, 117443]"
373,5,"[4151, 12548, 39773, 102756, 113418]"
374,3,"[77823, 113745, 119623]"
375,4,"[18051, 32219, 72627, 111134]"
376,11,"[8865, 22526, 44804, 73654, 75238, 76262, 82299, 102069, 107919, 112424, 129160]"
377,11,"[2934, 5535, 59190, 63612, 68885, 69716, 89340, 97413, 105208, 115506, 122123]"
378,10,"[11977, 21474, 33263, 58698, 59415, 94959, 98941, 102375, 103459, 130222]"
379,4,"[19307, 42067, 120018, 126397]"
380,13,"[11994, 24536, 25302, 33325, 40955, 44946, 75966, 79265, 79545, 98095, 98866, 106243, 109613]"
381,7,"[215, 16528, 41164, 44705, 99723, 112390, 128138]"
382,6,"[31673, 48061, 48136, 52894, 114959, 120849]"
383,5,"[53471, 81852, 99377, 118873, 128724]"
384,7,"[18869, 32762, 72252, 82214, 86720, 129543, 133187]"
385,5,"[58845, 86725, 106704, 116656, 132515]"
386,4,"[92992, 93709, 106042, 131481]"
387,5,"[17005, 42039, 99347, 112286, 126377]"
388,6,"[21419, 82662, 102600, 109737, 113087, 129813]"
389,9,"[5670, 20023, 38585, 42218, 44851, 63634, 103033, 119923, 126635]"
390,8,"[7808, 29601, 43244, 84459, 97804, 113970, 128869, 129236]"
391,3,"[21970, 58029, 95467]"
392,4,"[52928, 67937, 87504, 119866]"
393,4,"[29018, 38270, 79558, 111413]"
394,4,"[4920, 35607, 55443, 78291]"
395,8,"[13419, 25723, 74263, 76966, 92436, 93821, 109304, 124509]"
396,5,"[32741, 41967, 44111, 93791, 128990]"
397,6,"[14889, 60642, 97986, 102268, 114762, 118408]"
398,4,"[24965, 43467, 62200, 62812]"
399,5,"[38028, 54873, 70523, 89472, 90049]"
400,6,"[17654, 19404, 30416, 67448, 114823, 131911]"
401,5,"[12127, 22586, 26574, 68938, 121671]"
402,6,"[826, 7123, 22402, 45626, 54965, 55373]"
403,7,"[9484, 23626, 24270, 68461, 88523, 106369, 107693]"
404,5,"[34765, 80270, 91792, 99689, 117496]"
405,5,"[8980, 16954, 22351, 34807, 95043]"
406,9,"[9127, 25622, 32329, 52372, 57023, 72559, 75045, 92130, 92531]"
407,5,"[23043, 81590, 101250, 105231, 110436]"
408,6,"[5667, 35098, 35547, 63574, 82573, 102460]"
409,6,"[13751, 18653, 96171, 107742, 107993, 124410]"
410,4,"[20774, 57335, 103765, 131796]"
411,4,"[24969, 47003, 95238, 112072]"
412,10,"[28020, 38702, 41111, 50794, 72525, 92102, 98162, 99513, 110795, 114254]"
413,6,"[11975, 20516, 45441, 49196, 97117, 126162]"
414,4,"[17853, 44656, 70684, 90373]"
415,6,"[44928, 64568, 73156, 93915, 116516, 126518]"
416,3,"[38885, 73167, 102116]"
417,7,"[28454, 61832, 80170, 99812, 105889, 108128, 112808]"
418,4,"[8944, 18363, 86650, 97831]"
419,13,"[5459, 7124, 19272, 25243, 48493, 53593, 55238, 66794, 79350, 90050, 102341, 108364, 130245]"
420,6,"[19059, 20205, 82059, 94633, 105701, 109339]"
421,6,"[44900, 80080, 81318, 94412, 100637, 100991]"
422,5,"[43670, 44310, 51512, 59691, 98248]"
423,7,"[6878, 41107, 67703, 70255, 115738, 129332, 132253]"
424,6,"[10836, 57673, 59944, 109133, 109986, 123653]"
